id,booking_date,checkin_date,checkout_date,nights,rooms,guests,market_id,channel_id,campaign_id,room_revenue,adr,lead_time_days,status
2030,2024-08-12,2024-08-31,2024-09-02,2,1,2,1,5,,622.68,311.34,19,confirmed
2031,2024-08-01,2024-08-31,2024-09-03,3,1,1,10,5,,919.2,306.4,30,cancelled
2032,2024-08-04,2024-08-31,2024-09-02,2,1,1,7,5,,648.24,324.12,27,confirmed
2033,2024-08-22,2024-08-31,2024-09-03,3,1,2,2,5,,991.14,330.38,9,confirmed
2034,2024-08-14,2024-08-31,2024-09-01,1,1,3,2,5,,364.24,364.24,17,confirmed
2035,2024-07-26,2024-08-31,2024-09-01,1,1,3,2,6,,310.96,310.96,36,confirmed
2036,2024-08-25,2024-08-31,2024-09-01,1,1,3,9,6,,316.16,316.16,6,confirmed
2037,2024-07-16,2024-08-31,2024-09-02,2,1,2,6,6,,644.66,322.33,46,confirmed
2038,2024-08-21,2024-08-31,2024-09-04,4,1,3,1,6,,1288.36,322.09,10,confirmed
2039,2024-08-22,2024-08-31,2024-09-01,1,1,3,9,6,,287.43,287.43,9,confirmed
2040,2024-08-25,2024-08-31,2024-09-04,4,1,3,2,6,,1316.28,329.07,6,confirmed
2041,2024-07-31,2024-08-31,2024-09-01,1,1,3,2,6,,313.69,313.69,31,confirmed
2042,2024-08-20,2024-08-31,2024-09-03,3,1,2,5,6,,891.39,297.13,11,confirmed
2043,2024-08-15,2024-08-31,2024-09-04,4,1,2,6,6,,1252.72,313.18,16,confirmed
2044,2024-08-02,2024-08-31,2024-09-03,3,1,2,2,6,,947.46,315.82,29,confirmed
2045,2024-06-23,2024-08-31,2024-09-02,2,1,2,1,7,,650.34,325.17,69,confirmed
2046,2024-08-23,2024-08-31,2024-09-04,4,1,3,11,7,,1332.04,333.01,8,confirmed
2047,2024-08-03,2024-08-31,2024-09-02,2,1,1,1,7,,676.9,338.45,28,cancelled
2048,2024-07-29,2024-08-31,2024-09-04,4,1,1,9,7,,1224.08,306.02,33,confirmed
2049,2024-07-08,2024-09-01,2024-09-04,3,1,3,4,1,,855.78,285.26,55,confirmed
2050,2024-08-28,2024-09-01,2024-09-02,1,1,3,3,1,,306.11,306.11,4,confirmed
2051,2024-08-18,2024-09-01,2024-09-02,1,1,3,5,1,,286.1,286.1,14,confirmed
2052,2024-08-12,2024-09-01,2024-09-04,3,1,3,1,1,,725.49,241.83,20,confirmed
2053,2024-07-08,2024-09-01,2024-09-02,1,1,1,1,1,,304.69,304.69,55,confirmed
2054,2024-08-26,2024-09-01,2024-09-03,2,1,3,2,1,,625.16,312.58,6,confirmed
2055,2024-07-21,2024-09-01,2024-09-03,2,1,1,6,1,,651.52,325.76,42,confirmed
2056,2024-08-16,2024-09-01,2024-09-02,1,1,1,2,2,,272.61,272.61,16,confirmed
2057,2024-08-08,2024-09-01,2024-09-05,4,1,3,2,2,,1018.28,254.57,24,confirmed
2058,2024-08-29,2024-09-01,2024-09-02,1,1,1,11,4,,256.77,256.77,3,confirmed
2059,2024-08-17,2024-09-01,2024-09-04,3,1,1,4,4,,817.86,272.62,15,confirmed
2060,2024-08-16,2024-09-01,2024-09-04,3,1,1,10,4,,680.13,226.71,16,cancelled
2061,2024-08-21,2024-09-01,2024-09-09,8,1,2,5,4,,2464.0,308.0,11,confirmed
2062,2024-08-18,2024-09-01,2024-09-02,1,1,1,11,5,,284.34,284.34,14,confirmed
2063,2024-08-15,2024-09-01,2024-09-03,2,1,1,1,5,,498.62,249.31,17,confirmed
2064,2024-08-27,2024-09-01,2024-09-05,4,1,3,11,6,,1185.88,296.47,5,confirmed
2065,2024-08-27,2024-09-01,2024-09-03,2,1,2,2,6,,536.3,268.15,5,confirmed
2066,2024-08-16,2024-09-01,2024-09-04,3,1,2,2,6,,812.97,270.99,16,confirmed
2067,2024-08-24,2024-09-01,2024-09-05,4,1,3,6,6,,1209.12,302.28,8,cancelled
2068,2024-08-27,2024-09-01,2024-09-02,1,1,1,4,6,,255.56,255.56,5,confirmed
2069,2024-07-30,2024-09-01,2024-09-05,4,1,2,2,6,,1157.56,289.39,33,confirmed
2070,2024-08-31,2024-09-01,2024-09-04,3,1,1,1,6,,774.54,258.18,1,confirmed
2071,2024-07-19,2024-09-02,2024-09-06,4,1,2,9,1,,1214.68,303.67,45,cancelled
2072,2024-08-13,2024-09-02,2024-09-03,1,1,3,3,1,,325.84,325.84,20,cancelled
2073,2024-07-26,2024-09-02,2024-09-11,9,1,2,6,1,,2385.18,265.02,38,confirmed
2074,2024-08-24,2024-09-02,2024-09-04,2,1,2,11,1,,566.2,283.1,9,confirmed
2075,2024-08-12,2024-09-02,2024-09-03,1,1,1,1,1,,318.95,318.95,21,confirmed
2076,2024-08-22,2024-09-02,2024-09-03,1,1,2,6,1,,338.08,338.08,11,confirmed
2077,2024-08-01,2024-09-02,2024-09-04,2,1,3,1,1,,533.8,266.9,32,confirmed
2078,2024-08-26,2024-09-02,2024-09-04,2,1,1,3,1,,546.0,273.0,7,cancelled
2079,2024-07-21,2024-09-02,2024-09-08,6,1,3,2,2,,1513.5,252.25,43,confirmed
2080,2024-08-08,2024-09-02,2024-09-04,2,1,2,9,2,,552.7,276.35,25,confirmed
2081,2024-08-08,2024-09-02,2024-09-03,1,1,1,6,2,,324.68,324.68,25,confirmed
2082,2024-08-23,2024-09-02,2024-09-05,3,1,1,1,2,,875.64,291.88,10,confirmed
2083,2024-07-21,2024-09-02,2024-09-03,1,1,2,8,2,,287.51,287.51,43,confirmed
2084,2024-08-23,2024-09-02,2024-09-06,4,1,2,2,2,,1031.36,257.84,10,confirmed
2085,2024-08-09,2024-09-02,2024-09-11,9,1,2,5,4,,3093.12,343.68,24,confirmed
2086,2024-08-03,2024-09-02,2024-09-04,2,1,1,11,4,,617.34,308.67,30,confirmed
2087,2024-07-28,2024-09-02,2024-09-05,3,1,1,5,4,,831.93,277.31,36,confirmed
2088,2024-07-29,2024-09-02,2024-09-03,1,1,1,9,4,,257.56,257.56,35,confirmed
2089,2024-08-23,2024-09-02,2024-09-06,4,1,1,2,5,,1130.0,282.5,10,confirmed
2090,2024-08-19,2024-09-02,2024-09-03,1,1,1,9,6,,318.75,318.75,14,confirmed
2091,2024-08-20,2024-09-02,2024-09-04,2,1,3,1,6,,469.68,234.84,13,confirmed
2092,2024-08-30,2024-09-02,2024-09-04,2,1,1,7,6,,609.24,304.62,3,confirmed
2093,2024-08-30,2024-09-02,2024-09-03,1,1,1,1,6,,313.5,313.5,3,confirmed
2094,2024-08-20,2024-09-02,2024-09-08,6,1,3,5,6,,1753.02,292.17,13,confirmed
2095,2024-08-21,2024-09-02,2024-09-03,1,1,1,5,6,,265.86,265.86,12,confirmed
2096,2024-08-29,2024-09-02,2024-09-03,1,1,1,9,6,,308.04,308.04,4,confirmed
2097,2024-08-29,2024-09-02,2024-09-07,5,1,3,8,6,,1330.35,266.07,4,cancelled
2098,2024-08-24,2024-09-02,2024-09-04,2,1,1,6,6,,513.7,256.85,9,confirmed
2099,2024-08-26,2024-09-02,2024-09-05,3,1,3,2,6,,793.44,264.48,7,cancelled
2100,2024-08-29,2024-09-02,2024-09-09,7,1,1,3,7,,2237.97,319.71,4,confirmed
2101,2024-07-21,2024-09-02,2024-09-03,1,1,3,1,7,,277.5,277.5,43,confirmed
2102,2024-08-22,2024-09-03,2024-09-12,9,1,1,6,1,,2423.7,269.3,12,confirmed
2103,2024-08-16,2024-09-03,2024-09-04,1,1,2,1,1,,257.41,257.41,18,confirmed
2104,2024-08-22,2024-09-03,2024-09-06,3,1,2,4,1,,936.36,312.12,12,confirmed
2105,2024-08-29,2024-09-03,2024-09-09,6,1,3,1,1,,1686.18,281.03,5,confirmed
2106,2024-08-17,2024-09-03,2024-09-05,2,1,3,1,1,,626.26,313.13,17,confirmed
2107,2024-08-06,2024-09-03,2024-09-10,7,1,1,6,1,,2054.71,293.53,28,confirmed
2108,2024-08-19,2024-09-03,2024-09-12,9,1,3,6,1,,2549.16,283.24,15,confirmed
2109,2024-08-10,2024-09-03,2024-09-04,1,1,2,4,2,,229.81,229.81,24,confirmed
2110,2024-08-29,2024-09-03,2024-09-07,4,1,1,2,2,,1239.56,309.89,5,confirmed
2111,2024-08-25,2024-09-03,2024-09-04,1,1,3,2,2,,259.94,259.94,9,confirmed
2112,2024-08-19,2024-09-03,2024-09-04,1,1,1,10,2,,288.16,288.16,15,confirmed
2113,2024-08-21,2024-09-03,2024-09-10,7,1,1,1,3,,1860.18,265.74,13,confirmed
2114,2024-07-22,2024-09-03,2024-09-04,1,1,2,2,5,,273.91,273.91,43,confirmed
2115,2024-07-31,2024-09-03,2024-09-04,1,1,2,2,5,,269.27,269.27,34,confirmed
2116,2024-08-08,2024-09-03,2024-09-06,3,1,1,5,5,,759.84,253.28,26,confirmed
2117,2024-08-19,2024-09-03,2024-09-04,1,1,1,1,6,,212.75,212.75,15,confirmed
2118,2024-08-10,2024-09-03,2024-09-09,6,1,1,9,6,,1590.66,265.11,24,cancelled
2119,2024-08-18,2024-09-03,2024-09-05,2,1,1,2,6,,510.44,255.22,16,confirmed
2120,2024-08-23,2024-09-03,2024-09-04,1,1,3,1,6,,252.68,252.68,11,cancelled
2121,2024-08-15,2024-09-03,2024-09-04,1,1,2,2,6,,198.89,198.89,19,confirmed
2122,2024-08-23,2024-09-03,2024-09-12,9,1,3,6,6,,2276.46,252.94,11,confirmed
2123,2024-08-25,2024-09-03,2024-09-06,3,1,1,9,6,,807.57,269.19,9,confirmed
2124,2024-08-19,2024-09-03,2024-09-04,1,1,3,1,6,,258.14,258.14,15,confirmed
2125,2024-07-28,2024-09-03,2024-09-04,1,1,1,1,7,,264.04,264.04,37,confirmed
2126,2024-08-17,2024-09-04,2024-09-10,6,1,1,2,1,,1752.24,292.04,18,confirmed
2127,2024-08-10,2024-09-04,2024-09-05,1,1,3,1,1,,325.29,325.29,25,cancelled
2128,2024-08-24,2024-09-04,2024-09-06,2,1,3,4,1,,603.96,301.98,11,confirmed
2129,2024-08-08,2024-09-04,2024-09-05,1,1,2,2,1,,284.2,284.2,27,confirmed
2130,2024-08-19,2024-09-04,2024-09-07,3,1,3,6,1,,781.56,260.52,16,cancelled
2131,2024-08-30,2024-09-04,2024-09-06,2,1,1,4,1,,648.64,324.32,5,confirmed
2132,2024-08-05,2024-09-04,2024-09-05,1,1,1,4,1,,308.28,308.28,30,confirmed
2133,2024-08-10,2024-09-04,2024-09-07,3,1,2,2,2,,922.92,307.64,25,cancelled
2134,2024-07-13,2024-09-04,2024-09-06,2,1,2,8,2,,568.48,284.24,53,confirmed
2135,2024-07-24,2024-09-04,2024-09-05,1,1,3,1,2,,251.52,251.52,42,confirmed
2136,2024-08-10,2024-09-04,2024-09-10,6,1,1,5,3,,1689.0,281.5,25,confirmed
2137,2024-08-28,2024-09-04,2024-09-07,3,1,1,1,3,,855.24,285.08,7,confirmed
2138,2024-08-28,2024-09-04,2024-09-05,1,1,1,1,3,,286.98,286.98,7,confirmed
2139,2024-08-20,2024-09-04,2024-09-12,8,1,3,1,3,,2227.04,278.38,15,confirmed
2140,2024-08-13,2024-09-04,2024-09-07,3,1,2,2,4,,736.44,245.48,22,confirmed
2141,2024-08-19,2024-09-04,2024-09-06,2,1,2,9,4,,500.96,250.48,16,confirmed
2142,2024-08-31,2024-09-04,2024-09-06,2,1,2,8,5,,560.92,280.46,4,confirmed
2143,2024-09-04,2024-09-04,2024-09-05,1,1,3,1,6,,270.57,270.57,0,confirmed
2144,2024-08-23,2024-09-04,2024-09-06,2,1,3,9,6,,563.16,281.58,12,confirmed
2145,2024-08-25,2024-09-04,2024-09-08,4,1,1,3,6,,1113.44,278.36,10,cancelled
2146,2024-07-31,2024-09-04,2024-09-13,9,1,3,1,6,,2595.33,288.37,35,confirmed
2147,2024-08-21,2024-09-04,2024-09-05,1,1,1,4,6,,280.52,280.52,14,confirmed
2148,2024-08-28,2024-09-04,2024-09-05,1,1,2,6,6,,284.17,284.17,7,confirmed
2149,2024-08-26,2024-09-04,2024-09-06,2,1,3,2,6,,530.2,265.1,9,confirmed
2150,2024-08-21,2024-09-04,2024-09-05,1,1,3,1,6,,247.26,247.26,14,confirmed
2151,2024-08-14,2024-09-04,2024-09-09,5,1,1,5,6,,1193.25,238.65,21,confirmed
2152,2024-08-30,2024-09-04,2024-09-06,2,1,1,4,7,,553.82,276.91,5,confirmed
2153,2024-08-18,2024-09-05,2024-09-07,2,1,3,7,1,,552.9,276.45,18,cancelled
2154,2024-07-03,2024-09-05,2024-09-06,1,1,1,5,1,,280.02,280.02,64,confirmed
2155,2024-08-18,2024-09-05,2024-09-13,8,1,3,10,1,,2151.12,268.89,18,confirmed
2156,2024-08-02,2024-09-05,2024-09-08,3,1,3,4,1,,928.2,309.4,34,confirmed
2157,2024-07-30,2024-09-05,2024-09-07,2,1,1,5,1,,528.26,264.13,37,confirmed
2158,2024-08-09,2024-09-05,2024-09-07,2,1,3,3,1,,565.76,282.88,27,confirmed
2159,2024-08-06,2024-09-05,2024-09-08,3,1,3,6,1,,892.74,297.58,30,confirmed
2160,2024-08-24,2024-09-05,2024-09-13,8,1,3,1,2,,2404.08,300.51,12,confirmed
2161,2024-08-31,2024-09-05,2024-09-06,1,1,2,2,2,,269.42,269.42,5,confirmed
2162,2024-08-20,2024-09-05,2024-09-06,1,1,3,7,2,,297.25,297.25,16,confirmed
2163,2024-07-23,2024-09-05,2024-09-06,1,1,2,6,2,,300.21,300.21,44,confirmed
2164,2024-08-24,2024-09-05,2024-09-07,2,1,2,1,3,,563.4,281.7,12,confirmed
2165,2024-08-12,2024-09-05,2024-09-06,1,1,3,1,4,,220.15,220.15,24,confirmed
2166,2024-08-24,2024-09-05,2024-09-06,1,1,1,6,4,,264.23,264.23,12,cancelled
2167,2024-09-02,2024-09-05,2024-09-07,2,1,3,3,4,,598.38,299.19,3,confirmed
2168,2024-07-25,2024-09-05,2024-09-06,1,1,1,8,4,,271.34,271.34,42,confirmed
2169,2024-09-03,2024-09-05,2024-09-10,5,1,1,9,6,,1389.5,277.9,2,confirmed
2170,2024-09-03,2024-09-05,2024-09-07,2,1,3,2,6,,538.88,269.44,2,confirmed
2171,2024-08-21,2024-09-05,2024-09-06,1,1,2,1,6,,293.84,293.84,15,cancelled
2172,2024-08-23,2024-09-05,2024-09-07,2,1,1,12,6,,555.46,277.73,13,cancelled
2173,2024-09-01,2024-09-05,2024-09-06,1,1,1,3,6,,251.23,251.23,4,confirmed
2174,2024-08-27,2024-09-05,2024-09-07,2,1,3,2,6,,560.34,280.17,9,cancelled
2175,2024-08-19,2024-09-05,2024-09-06,1,1,2,9,6,,280.96,280.96,17,confirmed
2176,2024-09-01,2024-09-06,2024-09-08,2,1,3,9,1,,590.12,295.06,5,cancelled
2177,2024-08-12,2024-09-06,2024-09-07,1,1,3,6,1,,346.81,346.81,25,confirmed
2178,2024-08-26,2024-09-06,2024-09-10,4,1,2,2,1,,1511.68,377.92,11,confirmed
2179,2024-08-18,2024-09-06,2024-09-07,1,1,1,1,1,,309.82,309.82,19,confirmed
2180,2024-08-23,2024-09-06,2024-09-07,1,1,3,3,1,,331.77,331.77,14,confirmed
2181,2024-06-07,2024-09-06,2024-09-10,4,1,1,2,1,,1314.84,328.71,91,confirmed
2182,2024-08-22,2024-09-06,2024-09-07,1,1,3,2,1,,347.44,347.44,15,confirmed
2183,2024-08-23,2024-09-06,2024-09-07,1,1,3,1,1,,376.68,376.68,14,confirmed
2184,2024-08-03,2024-09-06,2024-09-07,1,1,2,9,1,,359.93,359.93,34,confirmed
2185,2024-07-30,2024-09-06,2024-09-08,2,1,1,6,1,,635.4,317.7,38,confirmed
2186,2024-08-16,2024-09-06,2024-09-07,1,1,3,2,1,,336.12,336.12,21,confirmed
2187,2024-07-29,2024-09-06,2024-09-10,4,1,3,1,1,,1354.0,338.5,39,confirmed
2188,2024-06-17,2024-09-06,2024-09-08,2,1,2,1,1,,645.9,322.95,81,cancelled
2189,2024-08-24,2024-09-06,2024-09-10,4,1,1,1,1,,1188.52,297.13,13,confirmed
2190,2024-08-01,2024-09-06,2024-09-07,1,1,1,8,2,,338.78,338.78,36,confirmed
2191,2024-08-30,2024-09-06,2024-09-07,1,1,3,4,2,,314.54,314.54,7,confirmed
2192,2024-08-15,2024-09-06,2024-09-07,1,1,2,1,2,,336.78,336.78,22,confirmed
2193,2024-08-13,2024-09-06,2024-09-08,2,1,3,9,2,,707.04,353.52,24,confirmed
2194,2024-08-22,2024-09-06,2024-09-07,1,1,1,2,2,,326.51,326.51,15,confirmed
2195,2024-07-04,2024-09-06,2024-09-08,2,1,1,1,2,,645.24,322.62,64,confirmed
2196,2024-08-15,2024-09-06,2024-09-07,1,1,3,1,2,,390.82,390.82,22,confirmed
2197,2024-08-15,2024-09-06,2024-09-08,2,1,3,8,2,,637.96,318.98,22,confirmed
2198,2024-08-24,2024-09-06,2024-09-08,2,1,2,10,2,,575.68,287.84,13,cancelled
2199,2024-08-29,2024-09-06,2024-09-07,1,1,3,3,3,,285.44,285.44,8,confirmed
2200,2024-08-06,2024-09-06,2024-09-08,2,1,2,10,4,,686.32,343.16,31,confirmed
2201,2024-08-01,2024-09-06,2024-09-07,1,1,3,12,4,,328.45,328.45,36,confirmed
2202,2024-08-24,2024-09-06,2024-09-10,4,1,3,1,4,,1236.36,309.09,13,confirmed
2203,2024-08-14,2024-09-06,2024-09-10,4,1,1,6,4,,1198.52,299.63,23,cancelled
2204,2024-07-14,2024-09-06,2024-09-08,2,1,1,4,5,,661.58,330.79,54,cancelled
2205,2024-08-29,2024-09-06,2024-09-07,1,1,3,2,5,,301.87,301.87,8,confirmed
2206,2024-08-27,2024-09-06,2024-09-09,3,1,2,2,5,,921.06,307.02,10,confirmed
2207,2024-08-06,2024-09-06,2024-09-07,1,1,2,3,5,,297.82,297.82,31,cancelled
2208,2024-08-22,2024-09-06,2024-09-10,4,1,1,3,5,,1213.08,303.27,15,confirmed
2209,2024-09-04,2024-09-06,2024-09-07,1,1,2,8,6,,265.77,265.77,2,confirmed
2210,2024-09-03,2024-09-06,2024-09-09,3,1,1,9,6,,869.13,289.71,3,confirmed
2211,2024-08-28,2024-09-06,2024-09-08,2,1,3,3,6,,659.58,329.79,9,confirmed
2212,2024-08-20,2024-09-06,2024-09-07,1,1,3,3,6,,308.66,308.66,17,confirmed
2213,2024-08-17,2024-09-06,2024-09-08,2,1,3,2,6,,614.36,307.18,20,confirmed
2214,2024-09-03,2024-09-06,2024-09-09,3,1,1,2,6,,930.12,310.04,3,cancelled
2215,2024-08-22,2024-09-06,2024-09-07,1,1,1,9,6,,269.95,269.95,15,cancelled
2216,2024-08-03,2024-09-06,2024-09-07,1,1,2,2,6,,302.27,302.27,34,confirmed
2217,2024-08-16,2024-09-06,2024-09-09,3,1,1,2,6,,1015.17,338.39,21,confirmed
2218,2024-08-25,2024-09-06,2024-09-07,1,1,2,2,6,,330.67,330.67,12,confirmed
2219,2024-08-24,2024-09-06,2024-09-10,4,1,1,5,6,,1206.36,301.59,13,confirmed
2220,2024-08-26,2024-09-06,2024-09-09,3,1,2,8,6,,1026.36,342.12,11,confirmed
2221,2024-08-30,2024-09-06,2024-09-10,4,1,2,1,6,,1097.48,274.37,7,confirmed
2222,2024-08-16,2024-09-06,2024-09-07,1,1,2,1,6,,281.27,281.27,21,confirmed
2223,2024-09-02,2024-09-06,2024-09-07,1,1,3,1,6,,349.32,349.32,4,confirmed
2224,2024-08-25,2024-09-06,2024-09-10,4,1,3,1,6,,1273.84,318.46,12,confirmed
2225,2024-08-30,2024-09-06,2024-09-07,1,1,3,9,7,,297.36,297.36,7,confirmed
2226,2024-08-23,2024-09-06,2024-09-10,4,1,3,4,7,,1342.0,335.5,14,confirmed
2227,2024-08-27,2024-09-07,2024-09-11,4,1,3,2,1,,1072.48,268.12,11,confirmed
2228,2024-08-19,2024-09-07,2024-09-08,1,1,3,1,1,,276.67,276.67,19,confirmed
2229,2024-08-21,2024-09-07,2024-09-08,1,1,1,4,1,,318.95,318.95,17,confirmed
2230,2024-08-09,2024-09-07,2024-09-08,1,1,2,7,1,,329.18,329.18,29,confirmed
2231,2024-08-21,2024-09-07,2024-09-09,2,1,3,11,1,,624.0,312.0,17,confirmed
2232,2024-07-13,2024-09-07,2024-09-09,2,1,1,9,1,,719.36,359.68,56,confirmed
2233,2024-08-31,2024-09-07,2024-09-08,1,1,1,1,1,,333.92,333.92,7,confirmed
2234,2024-09-01,2024-09-07,2024-09-09,2,1,2,12,1,,633.68,316.84,6,confirmed
2235,2024-08-27,2024-09-07,2024-09-09,2,1,3,1,1,,712.2,356.1,11,confirmed
2236,2024-08-23,2024-09-07,2024-09-10,3,1,1,1,1,,1081.17,360.39,15,cancelled
2237,2024-07-31,2024-09-07,2024-09-08,1,1,3,7,1,,335.13,335.13,38,confirmed
2238,2024-08-15,2024-09-07,2024-09-08,1,1,3,10,1,,304.22,304.22,23,confirmed
2239,2024-09-06,2024-09-07,2024-09-10,3,1,1,10,1,,928.86,309.62,1,cancelled
2240,2024-08-31,2024-09-07,2024-09-08,1,1,1,8,2,,334.35,334.35,7,confirmed
2241,2024-09-01,2024-09-07,2024-09-11,4,1,3,4,2,,1297.32,324.33,6,confirmed
2242,2024-08-28,2024-09-07,2024-09-08,1,1,1,9,2,,320.19,320.19,10,confirmed
